,ID,Beat,District,Ward,X Coordinate,Y Coordinate,Year,Latitude,Longitude
count,68081.0,68081.0,51589.0,59003.0,67709.0,67709.0,68081.0,67709.0,67709.0
mean,4530442.179080801,1044.0882331340608,9.86229622593964,19.21573479314611,1166403.0338802817,1875285.3090135728,2006.2650225466723,41.81334127598236,-87.66518944454411
std,2794375.7139695263,653.2321284097369,6.418910079891247,11.393626885200641,15673.425357626971,29029.11213175838,3.814706525063467,0.07988447284865328,0.05693925173909326
min,634.0,111.0,1.0,1.0,1100629.0,1813932.0,2001.0,41.644693219305545,-87.90533438430796
25%,2246555.0,531.0,5.0,9.0,1153965.0,1853859.0,2003.0,41.754343541921045,-87.71023993691134
50%,4226330.0,834.0,8.0,18.0,1166944.0,1868522.0,2006.0,41.794724895010845,-87.66335328102087
75%,7009518.0,1414.0,12.0,28.0,1178009.0,1899943.0,2009.0,41.88132447984729,-87.62325224320189
max,9555162.0,2535.0,25.0,50.0,1205070.0,1951533.0,2014.0,42.022659175268615,-87.52478313207862
